timestamp,cpu_percent,memory_percent
2026-02-23 15:23:13,8.8,54.6
2026-02-23 15:23:14,8.0,54.6
2026-02-23 15:23:15,11.3,54.6
2026-02-23 15:23:16,8.5,54.6
2026-02-23 15:23:17,17.7,54.6
2026-02-23 15:23:18,19.9,54.4
2026-02-23 15:23:19,7.2,54.4
2026-02-23 15:23:20,10.2,54.4
2026-02-23 15:23:21,10.4,54.4
2026-02-23 15:23:22,5.5,54.4
2026-02-23 15:23:23,7.0,54.4
2026-02-23 15:23:24,8.0,54.4
2026-02-23 15:23:25,7.1,54.5
2026-02-23 15:23:26,7.3,54.4
2026-02-23 15:23:27,9.7,54.4
2026-02-23 15:23:28,9.3,54.4
2026-02-23 15:23:29,7.8,54.4
2026-02-23 15:23:30,12.0,54.4
2026-02-23 15:23:31,9.1,54.4
2026-02-23 15:23:32,10.5,54.4
2026-02-23 15:23:33,10.3,54.4
2026-02-23 15:23:34,12.2,54.4
2026-02-23 15:23:35,13.5,54.6
2026-02-23 15:23:36,9.9,54.5
2026-02-23 15:23:37,12.3,54.5
2026-02-23 15:23:38,8.3,54.5
2026-02-23 15:23:39,12.3,54.6
2026-02-23 15:23:40,19.6,54.8
2026-02-23 15:23:41,9.9,54.7
2026-02-23 15:23:42,8.8,54.7
2026-02-23 15:23:43,15.2,54.7
2026-02-23 15:23:44,11.0,54.6
2026-02-23 15:23:45,8.5,54.6
2026-02-23 15:23:46,7.7,54.7
2026-02-23 15:23:47,9.3,54.6
2026-02-23 15:23:48,10.1,54.6
2026-02-23 15:23:49,11.3,54.8
2026-02-23 15:23:50,14.4,54.6
2026-02-23 15:23:51,9.9,54.7
2026-02-23 15:23:52,11.3,54.6
2026-02-23 15:23:53,9.0,54.6
2026-02-23 15:23:54,11.0,54.7
2026-02-23 15:23:55,12.8,54.6
2026-02-23 15:23:56,10.6,54.6
2026-02-23 15:23:57,13.3,54.6
2026-02-23 15:23:58,18.0,54.5
2026-02-23 15:23:59,17.1,54.5
2026-02-23 15:24:00,13.0,54.5
2026-02-23 15:24:01,11.3,54.5
2026-02-23 15:24:02,8.9,54.5
2026-02-23 15:24:03,12.9,54.5
2026-02-23 15:24:04,12.6,54.5
2026-02-23 15:24:05,10.4,54.5
2026-02-23 15:24:06,8.8,54.5
2026-02-23 15:24:07,13.1,54.5
2026-02-23 15:24:08,13.0,54.8
2026-02-23 15:24:09,11.6,54.5
2026-02-23 15:24:10,14.7,54.5
2026-02-23 15:24:11,12.7,54.5
2026-02-23 15:24:12,11.9,54.5
2026-02-23 15:24:13,10.2,54.5
2026-02-23 15:24:14,11.3,54.5
2026-02-23 15:24:15,12.8,54.5
2026-02-23 15:24:16,9.6,54.5
2026-02-23 15:24:17,8.6,54.5
2026-02-23 15:24:18,10.0,54.5
2026-02-23 15:24:19,9.6,54.5
2026-02-23 15:24:20,10.1,54.6
2026-02-23 15:24:21,16.2,54.7
2026-02-23 15:24:22,8.5,54.7
2026-02-23 15:24:23,6.5,54.6
2026-02-23 15:24:24,6.3,54.6
2026-02-23 15:24:25,9.8,54.6
2026-02-23 15:24:26,8.1,54.7
2026-02-23 15:24:27,8.5,54.6
2026-02-23 15:24:28,6.5,54.6
2026-02-23 15:24:29,6.5,54.6
2026-02-23 15:24:30,8.3,54.4
2026-02-23 15:24:31,9.1,54.4
2026-02-23 15:24:32,11.8,54.4
2026-02-23 15:24:33,11.2,54.4
2026-02-23 15:24:34,11.6,54.4
2026-02-23 15:24:35,11.3,54.5
2026-02-23 15:24:36,12.5,54.5
2026-02-23 15:24:37,7.8,54.5
2026-02-23 15:24:38,6.2,54.4
2026-02-23 15:24:39,9.6,54.4
2026-02-23 15:24:40,7.7,54.4
2026-02-23 15:24:41,10.2,54.5
2026-02-23 15:24:42,6.4,54.5
2026-02-23 15:24:43,6.9,54.4
2026-02-23 15:24:44,5.8,54.4
2026-02-23 15:24:45,7.6,54.4
2026-02-23 15:24:46,7.6,54.4
2026-02-23 15:24:47,13.3,54.5
2026-02-23 15:24:48,6.2,54.5
2026-02-23 15:24:49,4.8,54.5
2026-02-23 15:24:50,6.0,54.5
2026-02-23 15:24:51,6.7,54.5
2026-02-23 15:24:52,9.3,54.5
2026-02-23 15:24:53,9.7,54.5
2026-02-23 15:24:54,8.0,54.5
2026-02-23 15:24:55,9.4,54.5
2026-02-23 15:24:56,6.9,54.5
2026-02-23 15:24:57,6.7,54.5
2026-02-23 15:24:58,8.4,54.5
2026-02-23 15:24:59,9.7,54.5
2026-02-23 15:25:00,11.3,54.5
2026-02-23 15:25:01,11.2,54.5
2026-02-23 15:25:02,7.3,54.4
2026-02-23 15:25:03,8.2,54.4
2026-02-23 15:25:04,10.0,54.4
2026-02-23 15:25:05,13.1,54.4
2026-02-23 15:25:06,8.2,54.4
2026-02-23 15:25:07,7.8,54.4
2026-02-23 15:25:08,10.8,54.4
2026-02-23 15:25:09,8.7,54.4
2026-02-23 15:25:10,5.1,54.4
2026-02-23 15:25:11,4.8,54.4
2026-02-23 15:25:12,12.9,54.5
2026-02-23 15:25:13,13.2,54.5
2026-02-23 15:25:14,5.7,54.6
2026-02-23 15:25:15,8.0,54.6
2026-02-23 15:25:16,6.8,54.6
2026-02-23 15:25:17,7.9,54.6
2026-02-23 15:25:18,7.9,54.6
2026-02-23 15:25:19,7.3,54.8
2026-02-23 15:25:20,8.3,54.6
2026-02-23 15:25:21,7.2,54.6
2026-02-23 15:25:22,7.5,54.5
2026-02-23 15:25:23,7.3,54.5
2026-02-23 15:25:24,4.6,54.5
2026-02-23 15:25:25,7.7,54.5
2026-02-23 15:25:26,7.4,54.4
2026-02-23 15:25:27,9.7,54.5
2026-02-23 15:25:28,11.6,54.5
2026-02-23 15:25:29,8.7,54.5
2026-02-23 15:25:30,7.1,54.5
2026-02-23 15:25:31,4.4,54.5
2026-02-23 15:25:32,5.6,54.5
2026-02-23 15:25:33,4.7,54.5
2026-02-23 15:25:34,7.2,54.5
2026-02-23 15:25:35,7.6,54.5
2026-02-23 15:25:36,6.5,54.5
2026-02-23 15:25:37,8.8,54.6
2026-02-23 15:25:38,7.2,54.5
2026-02-23 15:25:39,4.8,54.5
2026-02-23 15:25:40,4.2,54.5
2026-02-23 15:25:41,4.1,54.5
2026-02-23 15:25:42,7.4,54.5
2026-02-23 15:25:43,7.0,54.5
2026-02-23 15:25:44,4.6,54.8
2026-02-23 15:25:45,5.1,54.5
2026-02-23 15:25:46,6.4,54.5
2026-02-23 15:25:47,6.4,54.6
2026-02-23 15:25:48,3.8,54.5
2026-02-23 15:25:49,4.8,54.5
2026-02-23 15:25:50,3.8,54.5
2026-02-23 15:25:51,6.4,54.6
2026-02-23 15:25:52,4.8,54.5
2026-02-23 15:25:53,6.1,54.5
2026-02-23 15:25:54,4.6,54.5
2026-02-23 15:25:55,7.5,54.5
2026-02-23 15:25:56,19.6,54.5
2026-02-23 15:25:57,18.0,54.4
2026-02-23 15:25:58,13.9,54.4
2026-02-23 15:25:59,12.9,54.4
2026-02-23 15:26:00,13.6,54.5
2026-02-23 15:26:01,16.6,54.6
2026-02-23 15:26:02,7.7,54.6
2026-02-23 15:26:03,5.5,54.6
2026-02-23 15:26:04,5.2,54.6
2026-02-23 15:26:05,6.2,54.5
2026-02-23 15:26:06,10.5,54.5
2026-02-23 15:26:07,10.4,54.5
2026-02-23 15:26:08,8.0,54.5
2026-02-23 15:26:09,7.7,54.3
2026-02-23 15:26:10,7.7,54.3
2026-02-23 15:26:11,8.7,54.3
2026-02-23 15:26:12,5.8,54.3
2026-02-23 15:26:13,10.2,54.3
2026-02-23 15:26:14,5.7,54.4
2026-02-23 15:26:15,5.6,54.3
2026-02-23 15:26:16,11.2,54.3
2026-02-23 15:26:17,5.1,54.3
2026-02-23 15:26:18,6.7,54.3
2026-02-23 15:26:19,5.0,54.3
2026-02-23 15:26:20,4.8,54.3
2026-02-23 15:26:21,5.9,54.3
2026-02-23 15:26:22,5.6,54.3
2026-02-23 15:26:23,5.8,54.3
2026-02-23 15:26:24,9.0,54.3
2026-02-23 15:26:25,6.7,54.3
2026-02-23 15:26:26,7.8,54.3
2026-02-23 15:26:27,4.6,54.3
2026-02-23 15:26:28,7.5,54.4
2026-02-23 15:26:29,9.8,54.3
2026-02-23 15:26:30,9.7,54.4
2026-02-23 15:26:31,14.5,54.6
2026-02-23 15:26:32,6.4,54.5
2026-02-23 15:26:33,9.6,54.6
2026-02-23 15:26:34,10.3,54.6
2026-02-23 15:26:35,10.6,54.7
2026-02-23 15:26:36,7.1,54.8
2026-02-23 15:26:37,11.8,54.7
2026-02-23 15:26:38,9.2,54.7
2026-02-23 15:26:39,8.8,54.5
2026-02-23 15:26:40,6.1,54.5
2026-02-23 15:26:41,5.9,54.5
2026-02-23 15:26:42,5.8,54.4
2026-02-23 15:26:43,6.7,54.4
2026-02-23 15:26:44,11.3,54.4
2026-02-23 15:26:45,5.5,54.4
2026-02-23 15:26:46,8.0,54.4
2026-02-23 15:26:47,8.2,54.4
2026-02-23 15:26:48,6.7,54.4
2026-02-23 15:26:49,7.2,54.4
2026-02-23 15:26:50,6.4,54.4
2026-02-23 15:26:51,6.3,54.4
2026-02-23 15:26:52,6.0,54.4
2026-02-23 15:26:53,6.3,54.4
2026-02-23 15:26:54,6.6,54.4
2026-02-23 15:26:55,7.8,54.4
2026-02-23 15:26:56,6.3,54.4
2026-02-23 15:26:57,8.0,54.4
2026-02-23 15:26:58,8.7,54.4
2026-02-23 15:26:59,7.9,54.5
2026-02-23 15:27:00,8.1,54.4
2026-02-23 15:27:01,11.6,54.4
2026-02-23 15:27:02,9.5,54.4
2026-02-23 15:27:03,11.7,54.4
2026-02-23 15:27:04,5.7,54.4
2026-02-23 15:27:05,5.4,54.4
2026-02-23 15:27:06,5.0,54.3
2026-02-23 15:27:07,5.7,54.3
